index,label,sample_44100,time_ms,time_seconds
0,b001,38258,868,0.8675283193588257
1,b002,76518,1735,1.7351020574569702
2,b003,114776,2603,2.602630376815796
3,b004,153036,3470,3.4702041149139404
4,b005,191294,4338,4.337732315063477
5,b006,229554,5205,5.205306053161621
6,b007,267812,6073,6.072834491729736
7,b008,306072,6940,6.940408229827881
8,b009,344330,7808,7.807936668395996
9,b010,382590,8676,8.67551040649414
10,b011,420848,9543,9.543038368225098
11,b012,459108,10411,10.410612106323242
12,b013,497366,11278,11.278141021728516
13,b014,535626,12146,12.14571475982666
14,b015,573884,13013,13.013242721557617
15,b016,612144,13881,13.880816459655762
16,b017,650402,14748,14.748344421386719
17,b018,688662,15616,15.615918159484863
18,b019,726920,16483,16.48344612121582
19,b020,765180,17351,17.35102081298828
20,b021,803438,18219,18.218547821044922
21,b022,841698,19086,19.086122512817383
22,b023,879956,19954,19.953651428222656
23,b024,918216,20821,20.821224212646484
24,b025,956474,21689,21.688753128051758
25,b026,994734,22556,22.556325912475586
26,b027,1032992,23424,23.42385482788086
27,b028,1071252,24291,24.29142951965332
28,b029,1109510,25159,25.15895652770996
29,b030,1147770,26027,26.026531219482422
30,b031,1186028,26894,26.894058227539062
31,b032,1224288,27762,27.761632919311523
32,b033,1262546,28629,28.629161834716797
33,b034,1300806,29497,29.496734619140625
34,b035,1339064,30364,30.3642635345459
35,b036,1377324,31232,31.231836318969727
36,b037,1415582,32099,32.099365234375
37,b038,1453842,32967,32.96693801879883
38,b039,1492100,33834,33.834468841552734
39,b040,1530360,34702,34.70204162597656
40,b041,1568618,35570,35.5695686340332
41,b042,1606878,36437,36.43714141845703
42,b043,1645136,37305,37.30467224121094
43,b044,1683396,38172,38.172245025634766
44,b045,1721654,39040,39.039772033691406
45,b046,1759914,39907,39.9073486328125
46,b047,1798172,40775,40.77487564086914
47,b048,1836432,41642,41.64244842529297
48,b049,1874690,42510,42.50997543334961
49,b050,1912950,43378,43.3775520324707
50,b051,1951208,44245,44.245079040527344
51,b052,1989468,45113,45.11265182495117
52,b053,2027726,45980,45.98018264770508
53,b054,2065986,46848,46.847755432128906
54,b055,2104244,47715,47.71528244018555
55,b056,2142504,48583,48.58285903930664
56,b057,2180762,49450,49.45038604736328
57,b058,2219022,50318,50.31795883178711
58,b059,2257280,51185,51.18548583984375
59,b060,2295540,52053,52.053062438964844
60,b061,2333798,52921,52.920589447021484
61,b062,2372058,53788,53.78816223144531
62,b063,2410316,54656,54.65569305419922
63,b064,2448576,55523,55.52326583862305
64,b065,2486834,56391,56.39079284667969
65,b066,2525094,57258,57.258365631103516
66,b067,2563352,58126,58.12589645385742
67,b068,2601612,58993,58.99346923828125
68,b069,2639870,59861,59.86099624633789
69,b070,2678130,60729,60.728572845458984
70,b071,2716388,61596,61.596099853515625
71,b072,2754648,62464,62.46367263793945
72,b073,2792906,63331,63.33120346069336
73,b074,2831166,64199,64.19877624511719
74,b075,2869424,65066,65.0663070678711
75,b076,2907684,65934,65.93387603759766
76,b077,2945942,66801,66.80140686035156
77,b078,2984202,67669,67.66897583007812
78,b079,3022460,68537,68.53650665283203
79,b080,3060720,69404,69.40408325195312
80,b081,3098978,70272,70.2716064453125
81,b082,3137238,71139,71.1391830444336
82,b083,3175496,72007,72.0067138671875
83,b084,3213756,72874,72.87428283691406
84,b085,3252014,73742,73.74181365966797
85,b086,3290274,74609,74.60939025878906
86,b087,3328532,75477,75.47691345214844
87,b088,3366792,76344,76.34449005126953
88,b089,3405050,77212,77.21202087402344
89,b090,3443310,78080,78.07958984375
90,b091,3481568,78947,78.9471206665039
91,b092,3519828,79815,79.814697265625
92,b093,3558086,80682,80.68222045898438
93,b094,3596346,81550,81.54979705810547
94,b095,3634604,82417,82.41732788085938
95,b096,3672864,83285,83.28489685058594
96,b097,3711122,84152,84.15242767333984
97,b098,3749382,85020,85.0199966430664
98,b099,3787640,85888,85.88752746582031
99,b100,3825900,86755,86.7551040649414
100,b101,3864158,87623,87.62262725830078
101,b102,3902418,88490,88.49020385742188
102,b103,3940676,89358,89.35773468017578
103,b104,3978936,90225,90.22530364990234
104,b105,4017194,91093,91.09283447265625
105,b106,4055454,91960,91.96041107177734
106,b107,4093712,92828,92.82793426513672
107,b108,4131972,93696,93.69551086425781
108,b109,4170230,94563,94.56304168701172
109,b110,4208490,95431,95.43061065673828
110,b111,4246748,96298,96.29814147949219
111,b112,4285008,97166,97.16571807861328
112,b113,4323266,98033,98.03324127197266
113,b114,4361526,98901,98.90081787109375
114,b115,4399784,99768,99.76834106445312
115,b116,4438044,100636,100.63591766357422
116,b117,4476302,101503,101.50344848632812
117,b118,4514562,102371,102.37101745605469
118,b119,4552820,103239,103.2385482788086
119,b120,4591080,104106,104.10612487792969
120,b121,4629338,104974,104.97364807128906
121,b122,4667598,105841,105.84122467041016
122,b123,4705856,106709,106.70875549316406
123,b124,4744116,107576,107.57632446289062
124,b125,4782374,108444,108.44385528564453
125,b126,4820634,109311,109.31143188476562
126,b127,4858892,110179,110.178955078125
127,b128,4897152,111047,111.0465316772461
128,b129,4935410,111914,111.9140625
129,b130,4973670,112782,112.78163146972656
130,b131,5011928,113649,113.64916229248047
131,b132,5050188,114517,114.51673126220703
132,b133,5088446,115384,115.38426208496094
133,b134,5127336,116266,116.26612091064453
134,b135,5164964,117119,117.1193618774414
135,b136,5203224,117987,117.9869384765625
136,b137,5241482,118854,118.8544692993164
137,b138,5279742,119722,119.72203826904297
138,b139,5318000,120590,120.58956909179688
139,b140,5356764,121469,121.46857452392578
140,b141,5394518,122325,122.32466888427734
141,b142,5432778,123192,123.19224548339844
142,b143,5471036,124060,124.05977630615234
143,b144,5509836,124940,124.93959045410156
144,b145,5547554,125795,125.79487609863281
145,b146,5585814,126662,126.6624526977539
146,b147,5624072,127530,127.52997589111328
147,b148,5662332,128398,128.39755249023438
148,b149,5700590,129265,129.26507568359375
149,b150,5738850,130133,130.13265991210938
150,b151,5776464,130986,130.98558044433594
151,b152,5815368,131868,131.8677520751953
152,b153,5853626,132735,132.73529052734375
153,b154,5891886,133603,133.6028594970703
154,b155,5930144,134470,134.4703826904297
155,b156,5968404,135338,135.33795166015625
156,b157,6006662,136205,136.2054901123047
157,b158,6045498,137086,137.08612060546875
158,b159,6083180,137941,137.94058227539062
159,b160,6121440,138808,138.80816650390625
160,b161,6159698,139676,139.67568969726562
161,b162,6197958,140543,140.5432586669922
162,b163,6235632,141398,141.39755249023438
163,b164,6274476,142278,142.2783660888672
164,b165,6312734,143146,143.14588928222656
165,b166,6350994,144013,144.0134735107422
166,b167,6389252,144881,144.88099670410156
167,b168,6427512,145749,145.74856567382812
168,b169,6465770,146616,146.61610412597656
169,b170,6504030,147484,147.48367309570312
170,b171,6542288,148351,148.3511962890625
171,b172,6581028,149230,149.2296600341797
172,b173,6619070,150092,150.09228515625
173,b174,6656640,150944,150.9442138671875
174,b175,6695324,151821,151.8214111328125
175,b176,6734096,152701,152.70059204101562
176,b177,6772482,153571,153.57101440429688
177,b178,6810102,154424,154.42408752441406
178,b179,6848360,155292,155.29161071777344
179,b180,6886812,156164,156.16354370117188
180,b181,6924878,157027,157.02671813964844
181,b182,6963138,157894,157.894287109375
182,b183,7001396,158762,158.76181030273438
183,b184,7039784,159632,159.63229370117188
184,b185,7077914,160497,160.49691772460938
185,b186,7116174,161364,161.36448669433594
186,b187,7154432,162232,162.23202514648438
187,b188,7193076,163108,163.10830688476562
188,b189,7230950,163967,163.9671173095703
189,b190,7269594,164843,164.84339904785156
190,b191,7307468,165702,165.7022247314453
191,b192,7345728,166570,166.56979370117188
192,b193,7383986,167437,167.43731689453125
193,b194,7422246,168305,168.30490112304688
194,b195,7460504,169172,169.17242431640625
195,b196,7499212,170050,170.05015563964844
196,b197,7537022,170908,170.90753173828125
197,b198,7575282,171775,171.7751007080078
198,b199,7613540,172643,172.6426239013672
199,b200,7651800,173510,173.5102081298828
200,b201,7690058,174378,174.3777313232422
201,b202,7728318,175245,175.24530029296875
202,b203,7766576,176113,176.1128387451172
203,b204,7804836,176980,176.98040771484375
204,b205,7843094,177848,177.84793090820312
205,b206,7881674,178723,178.72276306152344
206,b207,7920048,179593,179.59292602539062
207,b208,7958160,180457,180.45713806152344
208,b209,7996130,181318,181.31814575195312
209,b210,8034390,182186,182.1857147216797
210,b211,8072648,183053,183.05323791503906
211,b212,8110908,183921,183.9208221435547
212,b213,8149166,184788,184.78834533691406
213,b214,8187426,185656,185.65591430664062
214,b215,8225684,186523,186.52345275878906
215,b216,8263944,187391,187.39102172851562
216,b217,8302202,188259,188.258544921875
217,b218,8340462,189126,189.12612915039062
218,b219,8378720,189994,189.99365234375
219,b220,8417424,190871,190.8712921142578
220,b221,8455238,191729,191.728759765625
221,b222,8494026,192608,192.60830688476562
222,b223,8531756,193464,193.46385192871094
223,b224,8570136,194334,194.3341522216797
224,b225,8608274,195199,195.19895935058594
225,b226,8646534,196067,196.0665283203125
226,b227,8684792,196934,196.93405151367188
227,b228,8723268,197807,197.80653381347656
228,b229,8761632,198676,198.6764678955078
229,b230,8799978,199546,199.54598999023438
230,b231,8837828,200404,200.40426635742188
231,b232,8876520,201282,201.28163146972656
232,b233,8914346,202139,202.1393585205078
233,b234,8952606,203007,203.00694274902344
234,b235,8990864,203874,203.8744659423828
235,b236,9029604,204753,204.7529296875
236,b237,9067382,205610,205.6095733642578
237,b238,9105642,206477,206.47714233398438
238,b239,9143900,207345,207.34466552734375
239,b240,9182352,208217,208.2165985107422
240,b241,9220850,209090,209.08956909179688
241,b242,9259038,209956,209.95550537109375
242,b243,9296936,210815,210.81488037109375
243,b244,9335580,211691,211.691162109375
244,b245,9373862,212559,212.55923461914062
245,b246,9411714,213418,213.4175567626953
246,b247,9449972,214285,214.2850799560547
247,b248,9488664,215162,215.16244506835938
248,b249,9526490,216020,216.0201873779297
