classifier_index,move_name_internal,web_name,ailive_offset_hex,earthsong_recording_paths_found
0,MoveBras_Genou,earthsong_bras_genou,0x11E6,0
1,MovePoing_Terre,earthsong_poing_terre,0xA1F6,0
2,MoveBras_Sol,earthsong_bras_sol,0x14A06,1
3,MoveJette,earthsong_jette,0x1DA16,0
4,MoveLever,earthsong_lever,0x28226,1
5,MovePoitrine_L,earthsong_poitrine_l,0x31836,1
6,MoveSpin,earthsong_spin,0x3A646,1
7,MoveBras_U,earthsong_bras_u,0x44656,0
8,MoveBras_Down,earthsong_bras_down,0x4E866,1
9,MoveAllemand,earthsong_allemand,0x57876,0
10,MovePointer_Sol,earthsong_pointer_sol,0x61686,0
11,MovePoitrine_R,earthsong_poitrine_r,0x6C496,1
12,MoveMain,earthsong_main,0x75AA6,2
13,MoveBras,earthsong_bras,0x7DEB6,2
14,MoveSki_L,earthsong_ski_l,0x86AC6,0
15,MoveSaut_R,earthsong_saut_r,0x906D6,2
16,MoveSaut_L,earthsong_saut_l,0x998E6,2
17,MoveBras_Tendu,earthsong_bras_tendu,0xA28F6,0
18,MovePoing_Lever_L,earthsong_poing_lever_l,0xAB306,0
19,MovePoing_Lever_R,earthsong_poing_lever_r,0xB4D16,0
20,MoveSki_R,earthsong_ski_r,0xBED26,0
21,MovePoing_L,earthsong_poing_l,0xC8D36,0
22,MovePoing_R,earthsong_poing_r,0xD3946,0
23,MovePoing_F,earthsong_poing_f,0xDDB56,0
24,MoveMain_R,earthsong_main_r,0xE6966,2
25,MoveGenou_Tape,earthsong_genou_tape,0xF0976,0
26,MoveGenou_Moi,earthsong_genou_moi,0xF9B86,2
27,MoveMain_L,earthsong_main_l,0x103196,1
28,MovePose_Fin,earthsong_pose_fin,0x10C7A6,1
29,MovePoing_Lever_F,earthsong_poing_lever_f,0x1157B6,2
30,MoveShake,earthsong_shake,0x1207C6,1
