sourceIndex,sourceName,webName,fefBlockIndex,rawSize
0,Bras_Genou,earthsong_bras_genou,18,8192
1,Poing_Terre,earthsong_poing_terre,20,8192
2,Bras_Sol,earthsong_bras_sol,22,8192
3,Jette,earthsong_jette,24,8192
4,Lever,earthsong_lever,26,8192
5,Poitrine_L,earthsong_poitrine_l,28,8192
6,Spin,earthsong_spin,30,8192
7,Bras_U,earthsong_bras_u,32,8192
8,Bras_Down,earthsong_bras_down,34,8192
9,Allemand,earthsong_allemand,36,8192
10,Pointer_Sol,earthsong_pointer_sol,38,8192
11,Poitrine_R,earthsong_poitrine_r,40,8192
12,Main,earthsong_main,42,8192
13,Bras,earthsong_bras,44,8192
14,Ski_L,earthsong_ski_l,46,8192
15,Saut_R,earthsong_saut_r,48,8192
16,Saut_L,earthsong_saut_l,50,8192
17,Bras_Tendu,earthsong_bras_tendu,52,8192
18,Poing_Lever_L,earthsong_poing_lever_l,54,8192
19,Poing_Lever_R,earthsong_poing_lever_r,56,8192
20,Ski_R,earthsong_ski_r,58,8192
21,Poing_L,earthsong_poing_l,60,8192
22,Poing_R,earthsong_poing_r,62,8192
23,Poing_F,earthsong_poing_f,64,8192
24,Main_R,earthsong_main_r,66,8192
25,Genou_Tape,earthsong_genou_tape,68,8192
26,Genou_Moi,earthsong_genou_moi,70,8192
27,Main_L,earthsong_main_l,72,8192
28,Pose_Fin,earthsong_pose_fin,74,8192
29,Poing_Lever_F,earthsong_poing_lever_f,76,8192
30,Shake,earthsong_shake,78,8192
31,Kiss,earthsong_kiss,80,8192
32,A_Genou,earthsong_a_genou,82,8192
33,_Ski_R,earthsong__ski_r,84,8192
